epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,280.703,0.55997,0.33594,0.87753,0.9994,1,0.995,0.78811,0.85062,0.33753,1.03411,0.0002576,0.0002576,0.0002576
178,282.231,0.52087,0.32337,0.85654,0.99937,1,0.995,0.80763,0.82664,0.32962,1.01565,0.0002477,0.0002477,0.0002477
179,283.756,0.52072,0.31603,0.86623,0.99941,1,0.995,0.80222,0.83834,0.3325,1.02312,0.0002378,0.0002378,0.0002378
180,285.287,0.53183,0.31792,0.87312,0.99939,1,0.995,0.80107,0.82814,0.33054,1.02049,0.0002279,0.0002279,0.0002279
181,286.801,0.52602,0.32466,0.86679,0.99939,1,0.995,0.80484,0.8217,0.32769,1.01945,0.000218,0.000218,0.000218
182,288.332,0.52303,0.32834,0.86648,0.99939,1,0.995,0.80374,0.82743,0.33143,1.01738,0.0002081,0.0002081,0.0002081
183,289.848,0.52686,0.335,0.87814,0.9994,1,0.995,0.80446,0.81939,0.33326,1.01161,0.0001982,0.0001982,0.0001982
184,291.373,0.51014,0.32205,0.86024,0.99941,1,0.995,0.79932,0.84193,0.32771,1.0232,0.0001883,0.0001883,0.0001883
185,292.887,0.4952,0.32027,0.87885,0.99941,1,0.995,0.80154,0.84964,0.32955,1.02577,0.0001784,0.0001784,0.0001784
186,294.413,0.53819,0.3289,0.88922,0.99941,1,0.995,0.79135,0.84872,0.33345,1.03035,0.0001685,0.0001685,0.0001685
187,295.931,0.52445,0.33165,0.86974,0.99941,1,0.995,0.7954,0.83245,0.33628,1.02048,0.0001586,0.0001586,0.0001586
188,297.469,0.50723,0.31237,0.86474,0.99941,1,0.995,0.80496,0.83249,0.3354,1.02729,0.0001487,0.0001487,0.0001487
